,times,values
552,1627344004.664,2192
553,1627344004.672,2200
554,1627344004.68,2210
555,1627344004.688,2218
556,1627344004.696,2226
557,1627344004.704,2233
558,1627344004.712,2238
559,1627344004.72,2235
560,1627344004.728,2223
561,1627344004.736,2209
562,1627344004.744,2207
563,1627344004.752,2225
564,1627344004.76,2253
565,1627344004.768,2271
566,1627344004.776,2273
567,1627344004.784,2265
568,1627344004.792,2258
569,1627344004.8,2252
570,1627344004.808,2249
571,1627344004.816,2248
572,1627344004.824,2248
573,1627344004.832,2244
574,1627344004.84,2239
575,1627344004.848,2235
576,1627344004.856,2235
577,1627344004.864,2236
578,1627344004.872,2237
579,1627344004.88,2237
580,1627344004.888,2240
581,1627344004.896,2244
582,1627344004.904,2245
583,1627344004.912,2241
584,1627344004.92,2232
585,1627344004.928,2224
586,1627344004.936,2220
587,1627344004.944,2217
588,1627344004.952,2213
589,1627344004.96,2207
590,1627344004.968,2205
591,1627344004.976,2210
592,1627344004.984,2223
593,1627344004.992,2239
594,1627344005.0,2251
595,1627344005.008,2251
596,1627344005.016,2238
597,1627344005.024,2220
598,1627344005.032,2207
599,1627344005.04,2204
600,1627344005.048,2209
601,1627344005.056,2216
602,1627344005.064,2217
603,1627344005.072,2214
604,1627344005.08,2213
605,1627344005.088,2216
606,1627344005.096,2223
607,1627344005.104,2229
608,1627344005.112,2234
609,1627344005.12,2237
610,1627344005.128,2239
611,1627344005.136,2241
612,1627344005.144,2242
613,1627344005.152,2242
614,1627344005.16,2242
615,1627344005.168,2243
616,1627344005.176,2248
617,1627344005.184,2254
618,1627344005.192,2257
619,1627344005.2,2251
620,1627344005.208,2237
621,1627344005.216,2223
622,1627344005.224,2218
623,1627344005.232,2227
624,1627344005.24,2248
625,1627344005.248,2270
626,1627344005.256,2283
627,1627344005.264,2285
628,1627344005.272,2277
629,1627344005.28,2265
630,1627344005.288,2254
631,1627344005.296,2248
632,1627344005.304,2248
633,1627344005.312,2248
634,1627344005.32,2248
635,1627344005.328,2245
636,1627344005.336,2240
637,1627344005.344,2235
638,1627344005.352,2230
639,1627344005.36,2227
640,1627344005.368,2225
641,1627344005.376,2222
642,1627344005.384,2220
643,1627344005.392,2222
644,1627344005.4,2225
645,1627344005.408,2226
646,1627344005.416,2225
647,1627344005.424,2221
648,1627344005.432,2217
649,1627344005.44,2214
650,1627344005.448,2211
651,1627344005.456,2210
652,1627344005.464,2212
653,1627344005.472,2217
654,1627344005.48,2225
655,1627344005.488,2232
656,1627344005.496,2239
657,1627344005.504,2243
658,1627344005.512,2244
659,1627344005.52,2241
660,1627344005.528,2237
661,1627344005.536,2235
662,1627344005.544,2236
663,1627344005.552,2239
664,1627344005.56,2241
665,1627344005.568,2242
666,1627344005.576,2242
667,1627344005.584,2243
668,1627344005.592,2245
669,1627344005.6,2247
670,1627344005.608,2247
671,1627344005.616,2245
672,1627344005.624,2241
673,1627344005.632,2237
674,1627344005.64,2234
675,1627344005.648,2235
676,1627344005.656,2238
677,1627344005.664,2242
678,1627344005.672,2245
679,1627344005.68,2245
680,1627344005.688,2245
681,1627344005.696,2244
682,1627344005.704,2240
683,1627344005.712,2229
684,1627344005.72,2210
685,1627344005.728,2195
686,1627344005.736,2196
687,1627344005.744,2215
688,1627344005.752,2238
689,1627344005.76,2254
690,1627344005.768,2259
691,1627344005.776,2255
692,1627344005.784,2245
693,1627344005.792,2233
694,1627344005.8,2225
695,1627344005.808,2226
696,1627344005.816,2232
697,1627344005.824,2237
698,1627344005.832,2237
699,1627344005.84,2233
700,1627344005.848,2226
701,1627344005.856,2220
702,1627344005.864,2217
703,1627344005.872,2217
704,1627344005.88,2219
705,1627344005.888,2221
706,1627344005.896,2222
707,1627344005.904,2222
708,1627344005.912,2221
709,1627344005.92,2220
710,1627344005.928,2219
711,1627344005.936,2219
712,1627344005.944,2219
713,1627344005.952,2218
714,1627344005.96,2218
715,1627344005.968,2220
716,1627344005.976,2224
717,1627344005.984,2230
718,1627344005.992,2236
719,1627344006.0,2238
720,1627344006.008,2237
721,1627344006.016,2232
722,1627344006.024,2224
723,1627344006.032,2218
724,1627344006.04,2215
725,1627344006.048,2215
726,1627344006.056,2215
727,1627344006.064,2214
728,1627344006.072,2214
729,1627344006.08,2215
730,1627344006.088,2217
731,1627344006.096,2219
732,1627344006.104,2219
733,1627344006.112,2218
734,1627344006.12,2217
735,1627344006.128,2215
