,times,values
1760629,1608630371.946,8190
1760630,1608630371.948,8190
1760631,1608630371.95,8189
1760632,1608630371.952,8189
1760633,1608630371.954,8189
1760634,1608630371.956,8188
1760635,1608630371.958,8188
1760636,1608630371.96,8188
1760637,1608630371.962,8187
1760638,1608630371.964,8187
1760639,1608630371.966,8187
1760640,1608630371.968,8187
1760641,1608630371.97,8187
1760642,1608630371.972,8187
1760643,1608630371.974,8187
1760644,1608630371.976,8187
1760645,1608630371.978,8187
1760646,1608630371.98,8187
1760647,1608630371.982,8187
1760648,1608630371.984,8187
1760649,1608630371.986,8188
1760650,1608630371.988,8188
1760651,1608630371.99,8189
1760652,1608630371.992,8191
1760653,1608630371.994,8194
1760654,1608630371.996,8198
1760655,1608630371.998,8203
1760656,1608630372.0,8208
1760657,1608630372.002,8215
1760658,1608630372.004,8221
1760659,1608630372.006,8227
1760660,1608630372.008,8231
1760661,1608630372.01,8232
1760662,1608630372.012,8231
1760663,1608630372.014,8225
1760664,1608630372.016,8215
1760665,1608630372.018,8200
1760666,1608630372.02,8182
1760667,1608630372.022,8163
1760668,1608630372.024,8142
1760669,1608630372.026,8122
1760670,1608630372.028,8103
1760671,1608630372.03,8088
1760672,1608630372.032,8076
1760673,1608630372.034,8067
1760674,1608630372.036,8061
1760675,1608630372.038,8058
1760676,1608630372.04,8057
1760677,1608630372.042,8058
1760678,1608630372.044,8061
1760679,1608630372.046,8066
1760680,1608630372.048,8073
1760681,1608630372.05,8081
1760682,1608630372.052,8090
1760683,1608630372.054,8100
1760684,1608630372.056,8111
1760685,1608630372.058,8121
1760686,1608630372.06,8131
1760687,1608630372.062,8140
1760688,1608630372.064,8148
1760689,1608630372.066,8155
1760690,1608630372.068,8161
1760691,1608630372.07,8166
1760692,1608630372.072,8171
1760693,1608630372.074,8175
1760694,1608630372.076,8178
1760695,1608630372.078,8181
1760696,1608630372.08,8184
1760697,1608630372.082,8186
1760698,1608630372.084,8187
1760699,1608630372.086,8188
1760700,1608630372.088,8189
1760701,1608630372.09,8190
1760702,1608630372.092,8190
1760703,1608630372.094,8190
1760704,1608630372.096,8190
1760705,1608630372.098,8191
1760706,1608630372.1,8191
1760707,1608630372.102,8191
1760708,1608630372.104,8191
1760709,1608630372.106,8191
1760710,1608630372.108,8190
1760711,1608630372.11,8190
1760712,1608630372.112,8190
1760713,1608630372.114,8190
1760714,1608630372.116,8190
1760715,1608630372.118,8190
1760716,1608630372.12,8190
1760717,1608630372.122,8190
1760718,1608630372.124,8190
1760719,1608630372.126,8190
1760720,1608630372.128,8190
1760721,1608630372.13,8190
1760722,1608630372.132,8190
1760723,1608630372.134,8191
1760724,1608630372.136,8191
1760725,1608630372.138,8191
1760726,1608630372.14,8192
1760727,1608630372.142,8192
1760728,1608630372.144,8193
1760729,1608630372.146,8194
1760730,1608630372.148,8195
1760731,1608630372.15,8196
1760732,1608630372.152,8197
1760733,1608630372.154,8198
1760734,1608630372.156,8199
1760735,1608630372.158,8201
1760736,1608630372.16,8202
1760737,1608630372.162,8203
1760738,1608630372.164,8205
1760739,1608630372.166,8207
1760740,1608630372.168,8208
1760741,1608630372.17,8210
1760742,1608630372.172,8212
1760743,1608630372.174,8213
1760744,1608630372.176,8215
1760745,1608630372.178,8217
1760746,1608630372.18,8218
1760747,1608630372.182,8220
1760748,1608630372.184,8222
1760749,1608630372.186,8223
1760750,1608630372.188,8225
1760751,1608630372.19,8226
1760752,1608630372.192,8227
1760753,1608630372.194,8229
1760754,1608630372.196,8230
1760755,1608630372.198,8230
1760756,1608630372.2,8231
1760757,1608630372.202,8231
1760758,1608630372.204,8232
1760759,1608630372.206,8232
1760760,1608630372.208,8232
1760761,1608630372.21,8232
1760762,1608630372.212,8231
1760763,1608630372.214,8231
1760764,1608630372.216,8230
1760765,1608630372.218,8230
1760766,1608630372.22,8229
1760767,1608630372.222,8228
1760768,1608630372.224,8227
1760769,1608630372.226,8226
1760770,1608630372.228,8225
1760771,1608630372.23,8224
1760772,1608630372.232,8223
1760773,1608630372.234,8222
